preprocessing_id,dataset_id,clip_id,input_field,output_field,transformation_type,transformation_formula,normalisation_range,software_or_script,code_version,date_created,notes
SATP_PREPROCESS_PAQ1_pleasant_SCALE,SATP,,PAQ1_pleasant_raw_0_100,PAQ1_pleasant,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ2_vibrant_SCALE,SATP,,PAQ2_vibrant_raw_0_100,PAQ2_vibrant,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ3_eventful_SCALE,SATP,,PAQ3_eventful_raw_0_100,PAQ3_eventful,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ4_chaotic_SCALE,SATP,,PAQ4_chaotic_raw_0_100,PAQ4_chaotic,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ5_annoying_SCALE,SATP,,PAQ5_annoying_raw_0_100,PAQ5_annoying,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ6_monotonous_SCALE,SATP,,PAQ6_monotonous_raw_0_100,PAQ6_monotonous,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ7_uneventful_SCALE,SATP,,PAQ7_uneventful_raw_0_100,PAQ7_uneventful,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_PAQ8_calm_SCALE,SATP,,PAQ8_calm_raw_0_100,PAQ8_calm,scale_conversion,1 + 4 * input / 100,0-100_to_1-5,scripts/build_satp.py,repository_worktree,2026-06-15,"SATP source values remain available; the 1-5 value is a derived harmonised field, not a replacement."
SATP_PREPROCESS_ISO_COORDINATES_RESPONSE,SATP,,PAQ1_pleasant;PAQ2_vibrant;PAQ3_eventful;PAQ4_chaotic;PAQ5_annoying;PAQ6_monotonous;PAQ7_uneventful;PAQ8_calm,ISOPleasant;ISOEventful,iso_coordinate_derivation,ISO 12913 Method A pleasantness/eventfulness formula implemented in scripts/iso12913.py,-1_to_1,scripts/build_satp.py;scripts/iso12913.py,repository_worktree,2026-06-15,Derived from harmonised 1-5 PAQ item values after preserving original SATP ratings.
SATP_PREPROCESS_CLIP_MEANS,SATP,,responses.csv PAQ and loudness fields grouped by clip_id,clips.csv mean_* fields,aggregation,arithmetic mean over non-missing response-level values for each clip_id,,scripts/build_satp.py,repository_worktree,2026-06-15,Clip-level summaries are derived aggregates; response-level original values remain in responses.csv.
