dataset_name,description,year,scenario,link,access,licence_spdx,n_audio_samples,n_participants,n_assessments,total_duration_min,audio_ambisonics_available,audio_ambisonics_bit_depth,audio_ambisonics_sampling_rate_hz,audio_ambisonics_order,audio_ambisonics_clip_duration_s,audio_binaural_available,audio_binaural_bit_depth,audio_binaural_sampling_rate_hz,audio_binaural_clip_duration_s,audio_monaural_available,audio_monaural_clip_duration_s,visual_available,visual_format,visual_resolution,visual_frame_rate_fps,visual_clip_duration_s,annotation_framework,experimental_setting,acoustic_data_available,acoustic_measuring_instrument,environmental_data_available
International Soundscape Database (ISD),The International Soundscape Database contains the results of a series of soundscape assessment campaigns carried out across Europe and China.,2022,Urban,https://zenodo.org/records/10672568,Fully,Unknown,2500,3500,3500,300.0,True,24,44100,1,900.0,True,24,44100,30.0,True,3600.0,True,Video,4K,30,900.0,ISO/TS 12913-2:2018,On-site,True,Sound Level Meter,True
Affective Responses to Augmented Urban Soundscapes (ARAUS),"ARAUS is a large‐scale benchmark dataset comprising 25,440 unique subjective responses to 30‐second audio-visual stimuli of augmented urban soundscapes. The dataset is organized as a five-fold cross-validation set plus an independent test set, and was collected in accordance with ISO/TS 12913-2:2018.",2024,Urban,https://researchdata.ntu.edu.sg/dataset.xhtml?persistentId=doi:10.21979/N9/9OTEVX,Fully,Unknown,25440,642,25440,12720.0,False,,,,,True,24,44100,30.0,False,,True,360 Video,4K,30,30.0,ISO/TS 12913-2:2018,Lab-based,True,Sound Level Meter,False
Athens Urban Soundscape (ATHUS),"ATHUS is a dataset of audio recordings of ambient urban sounds, which has been annotated in terms of the corresponding perceived soundscape quality.",2019,Urban,https://users.iit.demokritos.gr/~tyianak/soundscape/,Partially,Unknown,978,10,978,440.0,False,,,,,True,24,44100,30.0,False,,False,,,,,Soundscape perception quality in range of 1 to 5 (level of “pleasantness”),Lab-based,False,,False
IADS-2,The IADS-2 dataset is a standardised collection of 167 six-second natural sounds widely used in emotional research,2007,Various,,Partially,Unknown,167,716,,16.7,False,,,,,True,,44100,6.0,False,,False,,,,,"SAM (Self-Assessment Manikin: Valence, Arousal, Dominance)",Lab-based,False,,False
IADS-E,"An expanded version of the International Affective Digitized Sounds (IADS-E), an extensive auditory stimulus collection designed to facilitate research on emotional and affective responses to sound.",2018,Various,https://sites.google.com/view/iads-e/,Partially,Unknown,935,207,21528,93.0,False,,,,,True,,44100,6.0,False,,False,,,,,"SAM (Self-Assessment Manikin: Valence, Arousal, Dominance)",Lab-based,False,,False
Emo-soundscapes,"The Emo-soundscapes dataset contains 1,213 soundscapes, each 6 seconds long, generated using individual audio clips from Freesound with affective labels.",2017,Various,https://www.metacreation.net/projects/emo-soundscapes,Fully,Unknown,1213,1182,69477,121.0,True,,,,,True,,44100,6.0,True,,False,,,,,Valence–Arousal ratings (continuous affective space),Online,False,,False
HSDD,"The University of Applied Sciences D¨ usseldorf dataset (HSDD) is an extensive crowdsourced dataset of in-situ evaluated indoor soundscapes of private dwellings, containing binaural recordings, subjective soundscape ratings, and rich situational and person-related variables collected via Experience Sampling Method.",,Indoor,https://doi.org/10.5281/zenodo.7858848,Partially,Unknown,6594,105,6549,1648.5,False,,,,,True,,,15.0,False,,False,,,,,ISO/TS 12913-2:2018,On-site,True,Low self-noise binaural recording device; post-processed with HEAD acoustics Artemis,True
DeLTA,"The Deep Learning Techniques for noise Annoyance detection (DeLTA) dataset comprises 2,980 15-second binaural audio recordings collected in urban public spaces across London, Venice, Granada, and Groningen (derived from the International Soundscape Database).",2022,Urban,https://zenodo.org/records/7158057,Fully,Unknown,2980,1221,12210,745.0,True,,,,,True,24,44100,15.0,True,,False,,,,,ISO/TS 12913-2:2018,On-site,True,Sound Level Meter and binaural recorder,True
SATP,The Soundscape Assessment in Transport-related Public spaces (SATP) dataset contains short binaural and audiovisual recordings collected in transport-related urban public spaces with associated ISO 12913 soundscape ratings.,2022,Urban,https://zenodo.org/records/6914434,Fully,Unknown,27,645,17441,13.5,True,,,,,True,,44100,30.0,True,,True,360 Video,4K,30,30.0,ISO/TS 12913-2:2018,Other,True,Sound Level Meter,True
Hong et al.'s dataset,"Mixed-reality soundscape dataset combining in-situ urban traffic sounds with visual holograms of natural sound sources, evaluated for overall soundscape quality and preference.",2021,Urban,https://doi.org/10.21979/N9/KE0901,Partially,Unknown,264,33,528,792.0,False,,,,,True,,44100,180.0,False,,True,Images,,,180.0,Overall Soundscape Quality (OSQ) and soundscape preference (11-point scales),On-site,False,,False
