rating_id,dataset_id,clip_id,response_id,participant_id,rating_item_original,rating_dimension,rating_framework,rating_value_original,rating_scale_min_original,rating_scale_max_original,rating_scale_step_original,rating_scale_label_original,rating_value_harmonised,rating_scale_min_harmonised,rating_scale_max_harmonised,harmonisation_method,harmonisation_notes,preprocessing_id,provenance
SATP_000001_PAQ1_pleasant,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ1_pleasant_raw_0_100,pleasant,ISO_12913_Method_A_PAQ,57,0,100,,0=not at all; 100=extremely,3.28,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ1_pleasant_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ2_vibrant,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ2_vibrant_raw_0_100,vibrant,ISO_12913_Method_A_PAQ,23,0,100,,0=not at all; 100=extremely,1.92,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ2_vibrant_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ3_eventful,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ3_eventful_raw_0_100,eventful,ISO_12913_Method_A_PAQ,68,0,100,,0=not at all; 100=extremely,3.72,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ3_eventful_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ4_chaotic,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ4_chaotic_raw_0_100,chaotic,ISO_12913_Method_A_PAQ,7,0,100,,0=not at all; 100=extremely,1.28,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ4_chaotic_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ5_annoying,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ5_annoying_raw_0_100,annoying,ISO_12913_Method_A_PAQ,17,0,100,,0=not at all; 100=extremely,1.68,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ5_annoying_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ6_monotonous,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ6_monotonous_raw_0_100,monotonous,ISO_12913_Method_A_PAQ,7,0,100,,0=not at all; 100=extremely,1.28,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ6_monotonous_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ7_uneventful,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ7_uneventful_raw_0_100,uneventful,ISO_12913_Method_A_PAQ,16,0,100,,0=not at all; 100=extremely,1.64,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ7_uneventful_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000001_PAQ8_calm,SATP,SATP_CG01,SATP_000001,BIS_1,PAQ8_calm_raw_0_100,calm,ISO_12913_Method_A_PAQ,75,0,100,,0=not at all; 100=extremely,4,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ8_calm_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000002_PAQ1_pleasant,SATP,SATP_CG04,SATP_000002,BIS_1,PAQ1_pleasant_raw_0_100,pleasant,ISO_12913_Method_A_PAQ,84,0,100,,0=not at all; 100=extremely,4.36,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ1_pleasant_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
SATP_000002_PAQ2_vibrant,SATP,SATP_CG04,SATP_000002,BIS_1,PAQ2_vibrant_raw_0_100,vibrant,ISO_12913_Method_A_PAQ,76,0,100,,0=not at all; 100=extremely,4.04,1,5,linear_0_100_to_1_5,Original SATP value is retained in responses.csv; 1-5 value is derived for MOSAIQ/ISO PAQ comparability.,SATP_PREPROCESS_PAQ2_vibrant_SCALE,Generated from datasets/SATP/data/responses.csv; full response table preserves raw and derived columns.
